ID,LIMIT_BAL,SEX_2,EDUCATION_2,EDUCATION_3,EDUCATION_4,MARRIAGE_2,MARRIAGE_3,AGE,DEFAULT,pay_sum,utilization_ratio_mean,bill_trend,bill_sum,pay_trend,payment_sum,payment_ratio_mean,loss_given_default
41,360000,0,0,0,0,1,0,33,0,0,0.7642,-119011.0,1650751,-65947.0,243840,0.1129,1406911
42,70000,1,0,0,0,1,0,25,0,0,0.9354,1361.0,392856,1247.0,19342,0.0461,373514
43,10000,0,1,0,0,1,0,22,0,0,0.3794,-211.0,22761,1209.0,7227,0.1204,15534
44,140000,1,1,0,0,0,0,37,0,0,0.4585,-5729.0,385134,-667.0,20000,0.0238,365134
45,40000,1,0,0,0,1,0,30,0,2,0.6133,-4966.0,147185,1000.0,13000,0.0542,134185
46,210000,0,0,0,0,1,0,29,1,-12,0.0,0.0,0,0.0,0,0.0,0
47,20000,1,0,0,0,1,0,22,1,1,0.6611,4432.0,79328,6469.0,20075,0.1673,59253
48,150000,1,0,0,1,1,0,46,1,-3,0.0109,2499.0,9837,728.0,2183,0.0024,7654
49,380000,0,1,0,0,1,0,32,0,-6,0.0504,1112.0,114815,9793.0,93332,0.0409,21483
50,20000,0,0,0,0,1,0,24,0,0,0.9651,-1669.0,115810,143.0,6246,0.052,109564
51,70000,0,0,1,0,1,0,42,1,9,0.5453,-1959.0,229012,700.0,8100,0.0193,220912
52,100000,1,0,1,0,0,1,43,0,0,0.442,15969.0,265185,202.0,9606,0.016,255579
53,310000,1,1,0,0,0,0,49,0,-12,0.0237,4580.0,44125,7551.0,30668,0.0165,13457
54,180000,1,0,0,0,1,0,25,0,3,0.24,-2449.0,259151,-34.0,10246,0.0095,248905
55,150000,1,0,0,0,1,0,29,0,2,0.1964,16184.0,176751,-1378.0,12867,0.0143,163884
56,500000,1,0,0,0,0,0,45,0,-12,0.0028,1009.0,8388,374.0,6483,0.0022,1905
57,180000,1,0,1,0,0,0,34,0,-3,0.0513,8612.0,55404,1940.0,29179,0.027,26225
58,180000,1,1,0,0,0,0,34,0,0,0.8818,30302.0,952362,2401.0,34062,0.0315,918300
59,200000,1,0,0,0,1,0,34,0,10,0.0056,62.0,6747,-167.0,1900,0.0016,4847
60,400000,1,1,0,0,0,0,29,0,0,0.9517,40751.0,2284140,5010.0,109029,0.0454,2175111
61,500000,1,0,1,0,0,0,28,1,0,0.0366,7010.0,109699,-395.0,8816,0.0029,100883
62,70000,0,1,0,0,0,0,39,0,-1,0.5815,60451.0,244242,707.0,12120,0.0289,232122
63,50000,0,0,0,0,1,0,29,1,12,0.5256,-1973.0,157674,-242.0,6125,0.0204,151549
64,50000,1,1,0,0,0,0,46,1,-6,0.1929,19295.0,57884,333.0,1000,0.0033,56884
65,130000,1,1,0,0,0,0,51,0,-8,0.0031,-751.0,2452,-784.0,2353,0.003,99
66,200000,0,0,0,0,0,0,57,1,-3,0.3914,140352.0,469636,2307.0,9522,0.0079,460114
67,10000,0,1,0,0,0,0,56,1,6,0.3809,-772.0,22852,630.0,3010,0.0502,19842
68,210000,1,0,0,0,1,0,30,0,-3,0.0068,-1690.0,8589,-573.0,9198,0.0073,-609
69,130000,1,0,1,0,1,0,29,0,-3,0.0101,-15894.0,7901,-352.0,41379,0.053,-33478
70,20000,0,0,0,1,1,0,22,0,2,0.736,5927.0,88326,233.0,3700,0.0308,84626
71,80000,0,0,0,0,1,0,31,0,-6,0.0049,0.0,2340,-130.0,1950,0.0041,390
72,320000,0,1,0,0,1,0,29,1,12,0.1886,-2253.0,362152,-1267.0,13800,0.0072,348352
73,200000,1,1,0,0,0,0,32,0,-3,0.022,644.0,26425,3453.0,19512,0.0163,6913
74,290000,1,0,0,0,1,0,37,0,-5,0.0032,265.0,5514,265.0,5514,0.0032,0
75,340000,0,0,0,0,1,0,32,0,-6,0.0697,-26110.0,142199,-25012.0,141997,0.0696,202
76,20000,0,1,0,0,1,0,24,0,2,0.8444,-1458.0,101328,443.0,5590,0.0466,95738
77,50000,0,0,1,0,1,0,25,0,-1,0.4847,28965.0,145406,453.0,6358,0.0212,139048
78,300000,1,0,0,0,0,0,45,0,-6,0.001,0.0,1746,0.0,1746,0.001,0
79,30000,1,1,0,0,1,0,22,1,0,0.8288,9155.0,149186,-373.0,8411,0.0467,140775
80,240000,1,1,0,0,1,0,44,1,-9,0.0,0.0,0,0.0,0,0.0,0
81,470000,1,0,1,0,0,1,33,0,0,0.218,118886.0,614823,4002.0,21926,0.0078,592897
82,360000,1,0,0,0,1,0,26,0,-1,0.1365,-43896.0,294903,-46254.0,161355,0.0747,133548
83,60000,0,0,1,0,1,0,30,1,0,0.3988,6747.0,143566,510.0,5345,0.0148,138221
84,400000,1,1,0,0,0,0,44,0,2,0.2921,31332.0,700952,1584.0,22753,0.0095,678199
85,50000,1,0,1,0,1,0,49,0,0,0.5917,19674.0,177499,435.0,6052,0.0202,171447
86,160000,0,1,0,0,1,0,33,0,0,0.6948,-15824.0,667013,24716.0,101747,0.106,565266
87,360000,1,0,0,0,0,0,45,1,-2,0.0016,390.0,3510,0.0,2340,0.0011,1170
88,160000,1,1,0,0,1,0,32,0,-1,0.0329,-420.0,31623,693.0,8216,0.0086,23407
89,130000,1,0,0,0,0,0,35,0,-3,0.2904,69101.0,226534,11985.0,56705,0.0727,169829
90,20000,0,0,1,0,1,0,44,0,6,0.5109,-2745.0,61309,-283.0,6151,0.0513,55158
91,200000,0,0,0,0,0,0,53,1,12,0.7185,-6446.0,862167,600.0,32800,0.0273,829367
92,280000,1,0,0,0,1,0,39,0,-5,0.0091,2541.0,15360,1323.0,3968,0.0024,11392
93,100000,1,0,0,0,1,0,27,0,-12,0.0059,1185.0,3555,2518.0,7555,0.0126,-4000
94,160000,1,1,0,0,0,0,37,0,-7,0.0043,827.0,4162,-1485.0,11018,0.0115,-6856
95,60000,1,1,0,0,1,0,23,0,0,0.5496,27195.0,197839,526.0,6261,0.0174,191578
96,90000,0,1,0,0,1,0,35,0,0,0.6569,53344.0,354716,1679.0,11756,0.0218,342960
97,360000,0,0,0,0,0,0,43,0,-5,0.0271,-9031.0,58460,-23781.0,120613,0.0558,-62153
98,150000,0,0,0,0,1,0,27,0,0,0.5327,14278.0,479411,3588.0,23841,0.0265,455570
99,50000,1,0,1,0,0,0,22,0,0,0.2793,7988.0,83794,728.0,3783,0.0126,80011
100,20000,0,1,0,0,0,0,38,1,-1,0.7768,6860.0,93217,628.0,5685,0.0474,87532
101,140000,0,0,0,0,1,0,32,0,-12,0.0163,3263.0,13679,3316.0,13007,0.0155,672
102,380000,1,0,0,0,1,0,30,0,-5,0.0582,-22807.0,132602,9042.0,42019,0.0184,90583
103,480000,0,0,0,0,0,0,63,0,4,0.9587,-31776.0,2761015,15524.0,130971,0.0455,2630044
104,50000,1,0,1,0,1,0,22,1,0,0.6846,15077.0,205366,464.0,6870,0.0229,198496
105,60000,1,1,0,0,1,0,26,0,10,0.9501,33.0,342038,502.0,13517,0.0375,328521
106,70000,1,1,0,0,1,0,24,0,-9,0.0764,-6983.0,32109,-9510.0,28529,0.0679,3580
107,80000,1,1,0,0,0,0,36,0,-6,0.0372,2209.0,17865,2041.0,12794,0.0267,5071
108,350000,0,0,0,0,1,0,52,0,-6,0.0052,-1191.0,10987,-2521.0,15285,0.0073,-4298
109,130000,0,1,0,0,1,0,38,0,-3,0.873,32861.0,680938,454.0,287768,0.3689,393170
110,360000,0,1,0,0,0,0,35,0,-9,-0.0003,0.0,-618,0.0,0,0.0,-618
111,330000,1,0,0,0,0,0,31,0,2,0.323,76.0,639580,-2347.0,32747,0.0165,606833
112,50000,0,0,1,0,0,0,47,0,2,0.3105,-2282.0,93139,333.0,7000,0.0233,86139
113,280000,0,1,0,0,0,0,41,0,13,0.5089,-12324.0,855008,301.0,40604,0.0242,814404
114,100000,1,0,0,0,1,0,24,0,0,0.5586,-5531.0,335186,-787.0,17866,0.0298,317320
115,50000,0,1,0,0,1,0,41,0,0,0.397,-658.0,119110,406.0,5471,0.0182,113639
116,30000,0,0,0,0,1,0,24,1,6,0.6537,-2921.0,117660,771.0,6312,0.0351,111348
117,240000,0,0,0,0,1,0,28,0,-6,0.0052,-1833.0,7456,1667.0,7656,0.0053,-200
118,80000,0,1,0,0,1,0,26,1,2,0.2063,-2239.0,99022,567.0,7700,0.016,91322
119,400000,0,1,0,0,0,0,34,0,-6,0.0299,3519.0,71828,292.0,57891,0.0241,13937
120,240000,1,1,0,0,1,0,38,0,-2,0.1456,33242.0,209703,1642.0,11073,0.0077,198630
121,50000,0,0,1,0,1,0,37,1,13,0.9675,-2793.0,290245,612.0,10235,0.0341,280010
122,450000,0,0,0,0,0,0,40,1,-9,0.0,0.0,0,0.0,0,0.0,0
123,110000,1,0,0,0,0,0,48,0,-9,0.0,0.0,0,0.0,0,0.0,0
124,310000,1,1,0,0,0,0,35,1,2,0.8745,72853.0,1626538,3712.0,53973,0.029,1572565
125,20000,0,0,0,0,1,0,27,0,0,0.9342,883.0,112100,653.0,4308,0.0359,107792
126,20000,0,1,0,0,1,0,23,0,-9,0.0,0.0,0,0.0,0,0.0,0
127,200000,0,0,1,0,1,0,52,0,0,0.5147,-140.0,617685,-182.0,22056,0.0184,595629
128,180000,0,0,0,0,0,0,36,1,0,0.6193,29997.0,668882,1351.0,14771,0.0137,654111
129,50000,0,1,0,0,0,0,51,1,0,0.1018,-2350.0,30548,177.0,6200,0.0207,24348
130,60000,0,0,1,0,0,0,55,0,7,0.7337,31435.0,264125,-30.0,7511,0.0209,256614
131,30000,1,0,0,0,1,0,23,0,-7,0.1821,-2157.0,32776,-4509.0,31886,0.1771,890
132,240000,0,0,0,0,1,0,41,0,-2,0.0078,252.0,11279,967.0,8944,0.0062,2335
133,420000,0,1,0,0,0,0,34,0,0,0.5357,36860.0,1349911,164.0,53309,0.0212,1296602
134,330000,0,0,1,0,0,0,46,0,0,0.6916,729.0,1369317,-145.0,49096,0.0248,1320221
135,30000,1,1,0,0,1,0,22,0,0,0.686,13045.0,123482,447.0,5460,0.0303,118022
136,240000,0,1,0,0,0,0,34,0,6,0.054,-1643.0,77708,658.0,4627,0.0032,73081
137,150000,0,0,0,0,1,0,27,0,0,0.1565,-7752.0,140829,-1000.0,20000,0.0222,120829
138,210000,1,1,0,0,0,0,33,0,0,0.0343,1551.0,43256,318.0,7046,0.0056,36210
139,50000,1,0,1,0,0,0,51,1,-8,0.0231,2311.0,6932,2060.0,6180,0.0206,752
140,50000,0,0,0,0,1,0,24,0,0,0.6944,30910.0,208330,387.0,8960,0.0299,199370
141,240000,0,0,0,0,1,0,47,1,-9,0.0,0.0,0,0.0,0,0.0,0
142,180000,0,1,0,0,1,0,28,0,-6,0.0035,500.0,3828,-1361.0,5580,0.0052,-1752
143,50000,0,1,0,0,1,0,23,0,7,0.3316,-5464.0,99487,3100.0,13500,0.045,85987
144,170000,0,1,0,0,1,0,29,0,-12,0.0667,-1223.0,67988,-1949.0,65846,0.0646,2142
145,20000,0,0,0,0,1,0,29,0,-5,0.2209,2583.0,26510,4300.0,23641,0.197,2869
146,50000,0,0,0,0,1,0,28,0,3,0.1606,-3910.0,48184,606.0,7183,0.0239,41001
147,170000,1,1,0,0,1,0,27,1,0,0.103,5285.0,105012,891.0,3752,0.0037,101260
148,200000,0,0,0,0,1,0,34,0,3,0.6619,46240.0,794273,16667.0,87000,0.0725,707273
149,80000,1,1,0,0,0,0,23,0,8,0.1291,-720.0,61950,-274.0,4121,0.0086,57829
150,260000,1,0,0,0,0,0,60,0,-5,0.0135,5787.0,21038,6844.0,24469,0.0157,-3431
151,140000,0,1,0,0,0,0,32,0,2,0.4897,18296.0,411323,2288.0,16267,0.0194,395056
152,80000,0,0,0,0,1,0,25,0,0,0.5344,8933.0,256528,5000.0,63000,0.1312,193528
153,350000,0,0,0,0,1,0,41,0,-5,0.0023,1161.0,4744,1512.0,4536,0.0022,208
154,280000,1,1,0,0,0,0,56,0,0,0.5783,25048.0,971621,-31147.0,133200,0.0793,838421
155,30000,1,0,1,0,1,0,26,0,0,0.3893,-2793.0,70072,-100.0,8700,0.0483,61372
156,140000,0,0,0,0,0,0,34,0,0,0.2655,-18283.0,222980,2794.0,35389,0.0421,187591
157,200000,1,0,0,0,1,0,37,0,0,0.4795,6820.0,575407,-520.0,22560,0.0188,552847
158,200000,1,0,1,0,1,0,30,0,0,0.8485,48412.0,1018160,2129.0,37788,0.0315,980372
159,210000,0,0,1,0,0,0,45,1,24,0.6392,-22793.0,805451,-400.0,65268,0.0518,740183
160,50000,0,0,1,0,0,0,57,0,5,0.2663,-853.0,79884,133.0,3800,0.0127,76084
161,30000,0,0,0,0,1,0,41,0,10,0.9033,-1847.0,162596,1083.0,8150,0.0453,154446
162,50000,0,1,0,0,1,0,27,0,0,0.0113,-92.0,3396,44.0,2640,0.0088,756
163,290000,0,0,1,0,0,0,47,0,-5,0.0021,138.0,3637,264.0,2376,0.0014,1261
164,250000,1,0,0,0,0,0,34,0,2,0.6126,-6366.0,918942,2359.0,39850,0.0266,879092
165,60000,1,1,0,0,0,0,46,0,0,0.4175,-3529.0,150304,667.0,10000,0.0278,140304
166,110000,1,0,0,0,1,0,27,0,0,0.8172,27747.0,539339,1233.0,21100,0.032,518239
167,370000,0,0,0,0,1,0,50,0,-12,0.0284,-1405.0,63070,5352.0,61944,0.0279,1126
168,100000,0,1,0,0,0,0,27,0,3,0.5168,68650.0,310089,-15638.0,55906,0.0932,254183
169,90000,1,1,0,0,0,0,35,0,2,0.8758,-9989.0,472951,-1116.0,24652,0.0457,448299
170,50000,1,1,0,0,1,0,22,0,0,0.5712,546.0,171359,358.0,6795,0.0226,164564
171,270000,0,1,0,0,1,0,37,0,0,0.1112,7681.0,180209,333.0,19000,0.0117,161209
172,300000,1,0,0,0,1,0,30,0,-6,0.0065,-1281.0,11780,1137.0,11846,0.0066,-66
173,50000,1,1,0,0,1,0,22,0,-1,0.1793,5731.0,53787,383.0,31149,0.1038,22638
174,50000,1,0,0,0,1,0,24,1,-9,-0.0386,2438.0,-11569,0.0,0,0.0,-11569
175,360000,0,0,0,0,1,0,29,0,-7,0.0,26.0,77,26.0,77,0.0,0
176,130000,0,0,1,0,0,0,56,1,12,0.5264,-4940.0,410575,1167.0,14500,0.0186,396075
177,80000,0,0,0,0,1,0,30,0,-3,0.0326,-617.0,15624,-665.0,6004,0.0125,9620
178,50000,0,1,0,0,1,0,30,0,5,0.7349,23188.0,220483,-500.0,6500,0.0217,213983
179,20000,1,1,0,0,1,0,22,0,0,0.6993,-75.0,83914,-362.0,6913,0.0576,77001
180,80000,1,1,0,0,0,0,29,0,2,0.6741,52110.0,323559,2000.0,8800,0.0183,314759
181,240000,0,0,0,0,1,0,37,0,-1,0.0821,3327.0,118261,-16730.0,84191,0.0585,34070
182,80000,1,0,1,0,1,0,35,0,-1,0.2698,8100.0,129487,5000.0,29000,0.0604,100487
183,500000,1,0,0,0,0,0,47,0,0,0.1931,-8162.0,579243,12728.0,222550,0.0742,356693
184,60000,1,1,0,0,0,0,24,1,0,0.6179,35688.0,222443,1121.0,10837,0.0301,211606
185,20000,0,1,0,0,1,0,25,0,-1,0.4242,6625.0,50904,478.0,5353,0.0446,45551
186,100000,1,1,0,0,0,0,38,1,5,0.1539,-1606.0,92351,200.0,5600,0.0093,86751
187,360000,1,0,0,0,1,0,32,0,-4,0.0757,-11195.0,163546,20795.0,199288,0.0923,-35742
188,200000,1,0,1,0,1,0,47,1,12,0.9855,3352.0,1182582,2681.0,35984,0.03,1146598
189,130000,1,1,0,0,0,0,34,0,0,0.074,-8803.0,57742,3465.0,17397,0.0223,40345
190,20000,1,1,0,0,1,0,31,0,19,1.0483,903.0,125792,80.0,1760,0.0147,124032
191,310000,0,0,0,0,1,0,32,0,0,0.1902,4853.0,353740,3932.0,40419,0.0217,313321
192,60000,1,0,0,0,1,0,27,1,4,0.3612,-2245.0,130018,1087.0,6752,0.0188,123266
193,180000,1,0,0,0,1,0,29,0,-6,0.0425,-7561.0,45854,-7494.0,22881,0.0212,22973
194,180000,1,0,0,0,1,0,24,0,-2,0.0632,15946.0,68239,12689.0,38067,0.0352,30172
195,50000,0,1,0,0,0,0,36,0,-2,0.2829,27813.0,84870,-5504.0,26511,0.0884,58359
196,50000,1,0,0,0,1,0,24,1,11,0.7625,-2230.0,228759,623.0,8132,0.0271,220627
197,150000,1,1,0,0,0,0,34,0,-12,0.0018,-539.0,1616,-461.0,1616,0.0018,0
198,20000,1,0,0,0,1,0,22,0,-1,0.8626,3539.0,103511,-6207.0,24766,0.2064,78745
199,500000,1,0,0,0,0,0,34,0,-9,0.0022,-253.0,6457,-4828.0,21861,0.0073,-15404
200,30000,1,0,1,0,1,0,22,1,5,0.6547,18307.0,117854,898.0,2903,0.0161,114951
201,180000,1,0,0,0,0,0,38,0,-12,0.0007,250.0,750,0.0,0,0.0,750
202,140000,0,0,0,0,1,0,31,0,4,0.1558,4647.0,130872,5900.0,38300,0.0456,92572
203,140000,1,0,0,0,1,0,26,0,-5,0.0765,8205.0,64236,2615.0,49839,0.0593,14397
204,120000,0,1,0,0,1,0,26,0,0,0.9568,-8546.0,688894,-283.0,29152,0.0405,659742
205,360000,1,1,0,0,0,0,48,0,0,0.5568,60740.0,1202779,2300.0,37500,0.0174,1165279
206,20000,0,0,1,0,0,0,43,0,-2,0.8245,-5770.0,98941,6102.0,31538,0.2628,67403
207,100000,0,0,0,0,0,0,47,0,-6,0.0051,491.0,3033,-172.0,5023,0.0084,-1990
208,210000,1,1,0,0,0,0,41,1,-6,0.0077,126.0,9657,1465.0,6988,0.0055,2669
209,80000,1,1,0,0,1,0,24,1,0,0.8154,31383.0,391407,879.0,13838,0.0288,377569
210,330000,1,0,0,0,0,0,50,0,-8,0.0098,4221.0,19462,2311.0,10868,0.0055,8594
211,220000,0,0,0,0,1,0,24,0,-3,0.3182,77370.0,419979,-22426.0,103985,0.0788,315994
212,210000,1,0,0,0,0,0,38,1,-4,0.0019,-628.0,2384,-3792.0,11877,0.0094,-9493
213,40000,1,0,1,0,0,0,43,0,0,0.8998,4859.0,215945,135.0,8404,0.035,207541
214,30000,0,1,0,0,1,0,39,0,2,0.5756,15361.0,103603,732.0,8493,0.0472,95110
215,470000,0,1,0,0,1,0,27,0,8,0.7102,-62449.0,2002818,-2563.0,55690,0.0197,1947128
216,30000,0,0,1,0,0,0,42,0,-3,0.0195,-390.0,3510,-150.0,2490,0.0138,1020
217,240000,1,1,0,0,0,0,36,1,-9,-0.0039,0.0,-5676,0.0,0,0.0,-5676
218,80000,0,1,0,0,1,0,36,0,2,0.9809,606.0,470809,167.0,19500,0.0406,451309
219,110000,1,0,1,0,0,1,31,0,0,0.6876,17722.0,453847,-985.0,26954,0.0408,426893
220,310000,1,0,0,0,1,0,38,0,-8,0.0033,2031.0,6092,1556.0,4668,0.0025,1424
221,360000,1,0,0,0,0,0,40,1,6,0.3174,-6660.0,685565,1233.0,32100,0.0149,653465
222,330000,1,0,1,0,1,0,45,0,0,1.0128,1979.0,2005418,180.0,73223,0.037,1932195
223,300000,1,1,0,0,1,0,35,0,0,0.7952,52572.0,1431315,489.0,74582,0.0414,1356733
224,320000,1,1,0,0,1,0,33,0,0,0.2277,50435.0,437268,6705.0,41866,0.0218,395402
225,50000,1,0,1,0,1,0,37,1,6,0.8132,20923.0,243968,-10423.0,34317,0.1144,209651
226,170000,1,0,0,0,1,0,28,0,0,0.757,2945.0,772102,6410.0,48549,0.0476,723553
227,350000,0,0,1,0,0,0,44,0,-7,0.004,2415.0,8384,1706.0,5119,0.0024,3265
228,20000,0,1,0,0,0,0,37,0,0,0.9038,-1575.0,108461,993.0,7564,0.063,100897
229,50000,0,1,0,0,1,0,23,1,2,0.675,27386.0,202501,1415.0,9074,0.0302,193427
230,20000,1,0,1,0,1,0,24,0,3,0.5326,15064.0,63912,-489.0,5133,0.0428,58779
231,50000,1,0,0,0,1,0,24,0,0,0.4431,23568.0,132930,1152.0,6732,0.0224,126198
232,20000,0,1,0,0,1,0,23,1,5,0.7888,4597.0,94656,-2933.0,13200,0.11,81456
233,50000,0,1,0,0,0,0,26,0,-4,0.6585,2684.0,197548,-15563.0,51938,0.1731,145610
234,190000,0,1,0,0,1,0,34,1,6,0.7264,-12311.0,828058,1704.0,34887,0.0306,793171
235,60000,1,1,0,0,0,0,33,0,0,0.4883,18405.0,175794,558.0,5935,0.0165,169859
236,80000,0,0,0,0,1,0,35,0,-6,0.0872,-1409.0,41852,-3728.0,36293,0.0756,5559
237,150000,1,1,0,0,1,0,27,0,0,0.4442,59406.0,399780,999.0,12625,0.014,387155
238,210000,1,0,0,0,1,0,31,0,-10,0.0144,-135.0,18130,-1120.0,19989,0.0159,-1859
239,240000,1,0,1,0,0,0,50,1,0,0.912,15935.0,1313227,1184.0,50997,0.0354,1262230
240,140000,1,1,0,0,0,1,41,1,0,0.1379,4045.0,115854,266.0,13597,0.0162,102257
241,60000,1,0,0,0,1,0,28,0,0,0.1234,13289.0,44436,-762.0,2285,0.0063,42151
242,50000,0,0,0,0,1,0,39,0,0,0.8041,15437.0,241244,267.0,12800,0.0427,228444
243,50000,1,1,0,0,1,0,27,0,0,0.5641,-1041.0,169234,317.0,7950,0.0265,161284
244,180000,1,0,0,0,1,0,32,0,0,0.0136,2997.0,14634,-59.0,5818,0.0054,8816
245,30000,1,0,0,0,1,0,40,0,6,0.0034,126.0,613,118.0,595,0.0033,18
246,20000,1,1,0,0,1,0,40,0,-2,0.6657,13580.0,79889,1973.0,5918,0.0493,73971
247,250000,1,1,0,0,0,0,75,0,-5,0.0423,16222.0,63417,-1124.0,11727,0.0078,51690
248,100000,1,1,0,0,1,0,27,0,0,0.3275,2674.0,196498,371.0,8260,0.0138,188238
249,330000,0,0,0,0,1,0,25,0,2,0.1293,8038.0,256005,2635.0,15230,0.0077,240775
250,50000,0,0,1,0,0,0,46,0,0,0.3929,5512.0,117871,-65.0,7027,0.0234,110844
251,50000,1,1,0,0,1,0,26,0,5,0.8029,20527.0,240862,-1319.0,10062,0.0335,230800
252,30000,0,1,0,0,1,0,28,0,0,0.7509,13549.0,135160,2049.0,8056,0.0448,127104
253,140000,1,1,0,0,1,0,26,1,0,0.7517,-2761.0,631439,1025.0,25041,0.0298,606398
254,160000,1,0,0,0,1,0,28,0,-1,0.3514,-15081.0,337391,-37409.0,132311,0.1378,205080
255,400000,1,1,0,0,1,0,29,0,-5,0.0142,5126.0,34030,1434.0,14825,0.0062,19205
256,50000,0,1,0,0,0,0,25,0,0,0.5785,-815.0,173552,345.0,6842,0.0228,166710
257,140000,1,1,0,0,0,0,48,0,-5,0.0323,-6866.0,27095,-6725.0,27501,0.0327,-406
258,160000,1,1,0,0,0,0,33,0,-5,0.0856,-14008.0,82207,20383.0,68661,0.0715,13546
259,100000,1,0,1,0,0,0,43,0,-8,0.1036,20723.0,62170,0.0,0,0.0,62170
260,220000,0,0,0,0,0,0,48,1,2,0.8556,40689.0,1129440,2673.0,42020,0.0318,1087420
261,510000,1,0,0,0,1,0,29,0,0,0.1677,19217.0,513211,-10087.0,160470,0.0524,352741
262,50000,0,1,0,0,1,0,29,0,0,0.674,10559.0,202201,-1503.0,16512,0.055,185689
263,160000,1,0,0,0,0,0,38,0,-3,0.0659,-11022.0,63277,5002.0,44142,0.046,19135
